id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
117047,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,312,0,0
117048,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,30,0,0
117049,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,56,0,0
117050,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,261,0,0
117051,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,396,14,0
117052,2023-09-27,By Month,Texas,All Sexes,25-34 years,0,418,13,0
117053,2023-09-27,By Month,Texas,All Sexes,30-39 years,0,533,26,0
117054,2023-09-27,By Month,Texas,All Sexes,35-44 years,0,619,43,0
117055,2023-09-27,By Month,Texas,All Sexes,40-49 years,0,837,56,14
117056,2023-09-27,By Month,Texas,All Sexes,45-54 years,0,1237,80,23
117057,2023-09-27,By Month,Texas,All Sexes,50-64 years,0,3504,254,58
117058,2023-09-27,By Month,Texas,All Sexes,55-64 years,0,2779,206,44
117059,2023-09-27,By Month,Texas,All Sexes,65-74 years,0,4016,322,41
117060,2023-09-27,By Month,Texas,All Sexes,75-84 years,0,4583,356,31
117061,2023-09-27,By Month,Texas,All Sexes,85 years and over,0,4869,380,25
117062,2023-09-27,By Month,Texas,Male,All Ages,0,10045,739,95
117063,2023-09-27,By Month,Texas,Male,Under 1 year,0,101,0,0
117064,2023-09-27,By Month,Texas,Male,0-17 years,0,178,0,0
117065,2023-09-27,By Month,Texas,Male,1-4 years,0,13,0,0
117066,2023-09-27,By Month,Texas,Male,5-14 years,0,32,0,0
117067,2023-09-27,By Month,Texas,Male,15-24 years,0,208,0,0
117068,2023-09-27,By Month,Texas,Male,18-29 years,0,302,11,0
117069,2023-09-27,By Month,Texas,Male,25-34 years,0,270,0,0
117070,2023-09-27,By Month,Texas,Male,30-39 years,0,325,13,0
117071,2023-09-27,By Month,Texas,Male,35-44 years,0,386,26,0
117072,2023-09-27,By Month,Texas,Male,40-49 years,0,514,35,0
117073,2023-09-27,By Month,Texas,Male,45-54 years,0,754,45,10
117074,2023-09-27,By Month,Texas,Male,50-64 years,0,2154,146,29
117075,2023-09-27,By Month,Texas,Male,55-64 years,0,1709,120,25
117076,2023-09-27,By Month,Texas,Male,65-74 years,0,2320,186,25
117077,2023-09-27,By Month,Texas,Male,75-84 years,0,2385,192,19
117078,2023-09-27,By Month,Texas,Male,85 years and over,0,1867,153,0
117079,2023-09-27,By Month,Texas,Female,All Ages,0,9005,673,89
117080,2023-09-27,By Month,Texas,Female,Under 1 year,0,81,0,0
117081,2023-09-27,By Month,Texas,Female,0-17 years,0,134,0,0
117082,2023-09-27,By Month,Texas,Female,1-4 years,0,17,0,0
117083,2023-09-27,By Month,Texas,Female,5-14 years,0,24,0,0
117084,2023-09-27,By Month,Texas,Female,15-24 years,0,53,0,0
117085,2023-09-27,By Month,Texas,Female,18-29 years,0,94,0,0
117086,2023-09-27,By Month,Texas,Female,25-34 years,0,148,0,0
117087,2023-09-27,By Month,Texas,Female,30-39 years,0,208,13,0
117088,2023-09-27,By Month,Texas,Female,35-44 years,0,233,17,0
117089,2023-09-27,By Month,Texas,Female,40-49 years,0,323,21,0
117090,2023-09-27,By Month,Texas,Female,45-54 years,0,483,35,13
117091,2023-09-27,By Month,Texas,Female,50-64 years,0,1350,108,29
117092,2023-09-27,By Month,Texas,Female,55-64 years,0,1070,86,19
117093,2023-09-27,By Month,Texas,Female,65-74 years,0,1696,136,16
117094,2023-09-27,By Month,Texas,Female,75-84 years,0,2198,164,12
117095,2023-09-27,By Month,Texas,Female,85 years and over,0,3002,227,19
117096,2023-09-27,By Month,Texas,All Sexes,All Ages,0,17629,1202,160
117097,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,153,0,0
117098,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,283,0,0
117099,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,35,0,0
117100,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,51,0,0
117101,2023-09-27,By Month,Texas,All Sexes,15-24 years,0,237,0,0
117102,2023-09-27,By Month,Texas,All Sexes,18-29 years,0,381,0,0
117103,2023-09-27,By Month,Texas,All Sexes,25-34 years,0,400,0,0
117104,2023-09-27,By Month,Texas,All Sexes,30-39 years,0,469,14,0
117105,2023-09-27,By Month,Texas,All Sexes,35-44 years,0,552,29,10
117106,2023-09-27,By Month,Texas,All Sexes,40-49 years,0,754,36,14
117107,2023-09-27,By Month,Texas,All Sexes,45-54 years,0,1125,61,18
117108,2023-09-27,By Month,Texas,All Sexes,50-64 years,0,3212,234,42
117109,2023-09-27,By Month,Texas,All Sexes,55-64 years,0,2546,191,31
117110,2023-09-27,By Month,Texas,All Sexes,65-74 years,0,3666,273,26
117111,2023-09-27,By Month,Texas,All Sexes,75-84 years,0,4284,319,32
117112,2023-09-27,By Month,Texas,All Sexes,85 years and over,0,4580,310,29
117113,2023-09-27,By Month,Texas,Male,All Ages,0,9386,647,78
117114,2023-09-27,By Month,Texas,Male,Under 1 year,0,91,0,0
