Data As Of,Totals By,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,312,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,30,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,56,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,261,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,0,396,14,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,0,418,13,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,0,533,26,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,0,619,43,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,0,837,56,14
2023-09-27,By Month,Texas,All Sexes,45-54 years,0,1237,80,23
2023-09-27,By Month,Texas,All Sexes,50-64 years,0,3504,254,58
2023-09-27,By Month,Texas,All Sexes,55-64 years,0,2779,206,44
2023-09-27,By Month,Texas,All Sexes,65-74 years,0,4016,322,41
2023-09-27,By Month,Texas,All Sexes,75-84 years,0,4583,356,31
2023-09-27,By Month,Texas,All Sexes,85 years and over,0,4869,380,25
2023-09-27,By Month,Texas,Male,All Ages,0,10045,739,95
2023-09-27,By Month,Texas,Male,Under 1 year,0,101,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,178,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,13,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,32,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,208,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,302,11,0
2023-09-27,By Month,Texas,Male,25-34 years,0,270,0,0
2023-09-27,By Month,Texas,Male,30-39 years,0,325,13,0
2023-09-27,By Month,Texas,Male,35-44 years,0,386,26,0
2023-09-27,By Month,Texas,Male,40-49 years,0,514,35,0
2023-09-27,By Month,Texas,Male,45-54 years,0,754,45,10
2023-09-27,By Month,Texas,Male,50-64 years,0,2154,146,29
2023-09-27,By Month,Texas,Male,55-64 years,0,1709,120,25
2023-09-27,By Month,Texas,Male,65-74 years,0,2320,186,25
2023-09-27,By Month,Texas,Male,75-84 years,0,2385,192,19
2023-09-27,By Month,Texas,Male,85 years and over,0,1867,153,0
2023-09-27,By Month,Texas,Female,All Ages,0,9005,673,89
2023-09-27,By Month,Texas,Female,Under 1 year,0,81,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,134,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,17,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,24,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,53,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,94,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,148,0,0
2023-09-27,By Month,Texas,Female,30-39 years,0,208,13,0
2023-09-27,By Month,Texas,Female,35-44 years,0,233,17,0
2023-09-27,By Month,Texas,Female,40-49 years,0,323,21,0
2023-09-27,By Month,Texas,Female,45-54 years,0,483,35,13
2023-09-27,By Month,Texas,Female,50-64 years,0,1350,108,29
2023-09-27,By Month,Texas,Female,55-64 years,0,1070,86,19
2023-09-27,By Month,Texas,Female,65-74 years,0,1696,136,16
2023-09-27,By Month,Texas,Female,75-84 years,0,2198,164,12
2023-09-27,By Month,Texas,Female,85 years and over,0,3002,227,19
2023-09-27,By Month,Texas,All Sexes,All Ages,0,17629,1202,160
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,153,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,283,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,35,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,51,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,237,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,0,381,0,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,0,400,0,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,0,469,14,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,0,552,29,10
2023-09-27,By Month,Texas,All Sexes,40-49 years,0,754,36,14
2023-09-27,By Month,Texas,All Sexes,45-54 years,0,1125,61,18
2023-09-27,By Month,Texas,All Sexes,50-64 years,0,3212,234,42
2023-09-27,By Month,Texas,All Sexes,55-64 years,0,2546,191,31
2023-09-27,By Month,Texas,All Sexes,65-74 years,0,3666,273,26
2023-09-27,By Month,Texas,All Sexes,75-84 years,0,4284,319,32
2023-09-27,By Month,Texas,All Sexes,85 years and over,0,4580,310,29
2023-09-27,By Month,Texas,Male,All Ages,0,9386,647,78
2023-09-27,By Month,Texas,Male,Under 1 year,0,91,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,165,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,15,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,25,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,187,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,300,0,0
2023-09-27,By Month,Texas,Male,25-34 years,0,291,0,0
2023-09-27,By Month,Texas,Male,30-39 years,0,299,0,0
2023-09-27,By Month,Texas,Male,35-44 years,0,350,16,0
2023-09-27,By Month,Texas,Male,40-49 years,0,497,22,0
2023-09-27,By Month,Texas,Male,45-54 years,0,707,35,10
2023-09-27,By Month,Texas,Male,50-64 years,0,1946,139,24
2023-09-27,By Month,Texas,Male,55-64 years,0,1541,116,17
2023-09-27,By Month,Texas,Male,65-74 years,0,2119,156,10
2023-09-27,By Month,Texas,Male,75-84 years,0,2200,170,19
2023-09-27,By Month,Texas,Male,85 years and over,0,1860,141,13
2023-09-27,By Month,Texas,Female,All Ages,0,8243,555,82
2023-09-27,By Month,Texas,Female,Under 1 year,0,62,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,118,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,20,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,26,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,50,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,81,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,109,0,0
2023-09-27,By Month,Texas,Female,30-39 years,0,170,0,0
2023-09-27,By Month,Texas,Female,35-44 years,0,202,13,0
2023-09-27,By Month,Texas,Female,40-49 years,0,257,14,10
2023-09-27,By Month,Texas,Female,45-54 years,0,418,26,0
2023-09-27,By Month,Texas,Female,50-64 years,0,1266,95,18
2023-09-27,By Month,Texas,Female,55-64 years,0,1005,75,14
2023-09-27,By Month,Texas,Female,65-74 years,0,1547,117,16
2023-09-27,By Month,Texas,Female,75-84 years,0,2084,149,13
2023-09-27,By Month,Texas,Female,85 years and over,0,2720,169,16
2023-09-27,By Month,Texas,All Sexes,All Ages,99,18576,1412,116
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,167,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,276,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,32,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,38,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,270,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,0,445,18,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,0,420,17,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,0,471,13,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,0,625,28,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,11,827,49,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,0,1138,73,13
2023-09-27,By Month,Texas,All Sexes,50-64 years,20,3327,264,28
2023-09-27,By Month,Texas,All Sexes,55-64 years,18,2656,219,21
2023-09-27,By Month,Texas,All Sexes,65-74 years,26,3866,310,31
2023-09-27,By Month,Texas,All Sexes,75-84 years,24,4551,373,26
2023-09-27,By Month,Texas,All Sexes,85 years and over,16,4813,380,16
2023-09-27,By Month,Texas,Male,All Ages,54,9879,760,56
2023-09-27,By Month,Texas,Male,Under 1 year,0,101,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,165,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,18,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,20,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,197,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,330,14,0
2023-09-27,By Month,Texas,Male,25-34 years,0,304,11,0
2023-09-27,By Month,Texas,Male,30-39 years,0,324,0,0
2023-09-27,By Month,Texas,Male,35-44 years,0,415,16,0
2023-09-27,By Month,Texas,Male,40-49 years,0,526,30,0
2023-09-27,By Month,Texas,Male,45-54 years,0,697,40,0
2023-09-27,By Month,Texas,Male,50-64 years,14,2000,150,14
2023-09-27,By Month,Texas,Male,55-64 years,12,1593,127,12
2023-09-27,By Month,Texas,Male,65-74 years,15,2274,170,14
2023-09-27,By Month,Texas,Male,75-84 years,10,2372,207,12
2023-09-27,By Month,Texas,Male,85 years and over,0,1888,179,11
2023-09-27,By Month,Texas,Female,All Ages,45,8697,652,60
2023-09-27,By Month,Texas,Female,Under 1 year,0,66,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,111,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,14,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,18,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,73,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,115,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,116,0,0
2023-09-27,By Month,Texas,Female,30-39 years,0,147,0,0
2023-09-27,By Month,Texas,Female,35-44 years,0,210,12,0
2023-09-27,By Month,Texas,Female,40-49 years,0,301,19,0
2023-09-27,By Month,Texas,Female,45-54 years,0,441,33,0
2023-09-27,By Month,Texas,Female,50-64 years,0,1327,114,14
2023-09-27,By Month,Texas,Female,55-64 years,0,1063,92,0
2023-09-27,By Month,Texas,Female,65-74 years,11,1592,140,17
2023-09-27,By Month,Texas,Female,75-84 years,14,2179,166,14
2023-09-27,By Month,Texas,Female,85 years and over,0,2925,201,0
2023-09-27,By Month,Texas,All Sexes,All Ages,934,18572,1660,24
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,157,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,288,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,40,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,50,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,255,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,0,438,15,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,14,457,20,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,24,533,24,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,33,640,46,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,42,852,71,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,65,1249,97,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,175,3468,312,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,134,2731,253,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,210,3877,396,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,241,4391,447,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,233,4725,391,0
2023-09-27,By Month,Texas,Male,All Ages,555,10002,936,11
2023-09-27,By Month,Texas,Male,Under 1 year,0,88,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,169,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,25,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,29,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,187,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,313,0,0
2023-09-27,By Month,Texas,Male,25-34 years,10,313,14,0
2023-09-27,By Month,Texas,Male,30-39 years,16,359,17,0
2023-09-27,By Month,Texas,Male,35-44 years,23,414,32,0
2023-09-27,By Month,Texas,Male,40-49 years,25,531,40,0
2023-09-27,By Month,Texas,Male,45-54 years,41,776,52,0
2023-09-27,By Month,Texas,Male,50-64 years,125,2158,187,0
2023-09-27,By Month,Texas,Male,55-64 years,97,1698,153,0
2023-09-27,By Month,Texas,Male,65-74 years,148,2295,256,0
2023-09-27,By Month,Texas,Male,75-84 years,134,2345,255,0
2023-09-27,By Month,Texas,Male,85 years and over,101,1832,170,0
2023-09-27,By Month,Texas,Female,All Ages,379,8570,724,13
2023-09-27,By Month,Texas,Female,Under 1 year,0,69,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,119,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,15,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,21,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,68,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,125,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,144,0,0
2023-09-27,By Month,Texas,Female,30-39 years,0,174,0,0
2023-09-27,By Month,Texas,Female,35-44 years,10,226,14,0
2023-09-27,By Month,Texas,Female,40-49 years,17,321,31,0
2023-09-27,By Month,Texas,Female,45-54 years,24,473,45,0
2023-09-27,By Month,Texas,Female,50-64 years,50,1310,125,0
2023-09-27,By Month,Texas,Female,55-64 years,37,1033,100,0
2023-09-27,By Month,Texas,Female,65-74 years,62,1582,140,0
2023-09-27,By Month,Texas,Female,75-84 years,107,2046,192,0
2023-09-27,By Month,Texas,Female,85 years and over,132,2893,221,0
2023-09-27,By Month,Texas,All Sexes,All Ages,964,18731,1560,13
